,Date,Weight,Days,year,month
1,2024-06-03,80.0,1,2024,6
2,2024-06-04,79.0,2,2024,6
3,2024-06-05,79.0,3,2024,6
4,2024-06-06,79.0,4,2024,6
5,2024-06-07,79.0,5,2024,6
6,2024-06-08,79.0,6,2024,6
7,2024-06-09,78.0,7,2024,6
8,2024-06-10,79.0,8,2024,6
9,2024-06-11,77.3,9,2024,6
10,2024-06-12,77.3,10,2024,6
11,2024-06-13,77.3,11,2024,6
12,2024-06-14,77.3,12,2024,6
13,2024-06-15,77.3,13,2024,6
14,2024-06-16,77.3,14,2024,6
15,2024-06-17,76.6,15,2024,6
16,2024-06-18,77.3,16,2024,6
17,2024-06-19,77.3,17,2024,6
18,2024-06-20,77.3,18,2024,6
19,2024-06-21,75.4,19,2024,6
20,2024-06-22,75.4,20,2024,6
21,2024-06-23,75.4,21,2024,6
22,2024-06-24,75.4,22,2024,6
23,2024-06-25,75.4,23,2024,6
24,2024-06-26,74.2,24,2024,6
25,2024-06-27,74.2,25,2024,6
26,2024-06-28,74.2,26,2024,6
27,2024-06-29,74.2,27,2024,6
28,2024-06-30,74.2,28,2024,6
29,2024-07-01,74.2,29,2024,7
30,2024-07-02,74.2,30,2024,7
31,2024-07-03,74.2,31,2024,7
32,2024-07-04,74.2,32,2024,7
33,2024-07-05,74.0,33,2024,7
34,2024-07-06,74.0,34,2024,7
35,2024-07-07,74.0,35,2024,7
36,2024-07-08,74.0,36,2024,7
37,2024-07-09,73.95,37,2024,7
38,2024-07-10,73.9,38,2024,7
39,2024-07-11,73.6,39,2024,7
40,2024-07-12,73.6,40,2024,7
41,2024-07-13,74.0,41,2024,7
42,2024-07-14,73.8,42,2024,7
43,2024-07-15,73.8,43,2024,7
44,2024-07-16,73.8,44,2024,7
45,2024-07-17,73.6,45,2024,7
46,2024-07-18,73.6,46,2024,7
47,2024-07-19,73.6,47,2024,7
48,2024-07-20,73.6,48,2024,7
49,2024-07-21,73.6,49,2024,7
50,2024-07-22,73.2,50,2024,7
51,2024-07-23,73.4,51,2024,7
52,2024-07-24,73.0,52,2024,7
53,2024-07-25,72.8,53,2024,7
54,2024-07-26,73.2,54,2024,7
55,2024-07-27,73.2,55,2024,7
56,2024-07-28,73.6,56,2024,7
57,2024-07-29,73.6,57,2024,7
58,2024-07-30,72.9,58,2024,7
59,2024-07-31,72.4,59,2024,7
60,2024-08-01,73.0,60,2024,8
61,2024-08-02,73.0,61,2024,8
62,2024-08-03,72.7,62,2024,8
63,2024-08-04,72.4,63,2024,8
64,2024-08-05,72.6,64,2024,8
65,2024-08-06,71.7,65,2024,8
66,2024-08-07,72.2,66,2024,8
67,2024-08-08,72.3,67,2024,8
68,2024-08-09,72.6,68,2024,8
69,2024-08-10,72.3,69,2024,8
